FID_,scalerank,natscale,labelrank,featurecla,name,namepar,namealt,diffascii,nameascii,adm0cap,capalt,capin,worldcity,megacity,sov0name,sov_a3,adm0name,adm0_a3,adm1name,iso_a2,note,latitude,longitude,changed,namediff,diffnote,pop_max,pop_min,pop_other,rank_max,rank_min,geonameid,meganame,ls_name,ls_match,checkme
,7,20,1,Populated place,Panipat, , ,0,Panipat,0.000000000000000,0.000000000000000, ,0.000000000000000,0,India,IND,India,IND,Haryana,IN, ,29.400413430800000,76.969968219899997,0.000000000000000,0, ,292808,292808,1661947,10,10,1260476.000000000000000, ,Panipat,1,0
,7,20,1,Populated place,Karnal, , ,0,Karnal,0.000000000000000,0.000000000000000, ,0.000000000000000,0,India,IND,India,IND,Haryana,IN, ,29.680448017400000,76.969968219899997,0.000000000000000,0, ,225049,225049,2342274,10,10,1267708.000000000000000, ,Karnal,1,0
,7,20,1,Populated place,Baramula, , ,0,Baramula,0.000000000000000,0.000000000000000, ,0.000000000000000,0,India,IND,India,IND,Jammu and Kashmir,IN, ,34.200430520700003,74.350024779199998,0.000000000000000,0, ,167986,77276,276092,9,8,1277085.000000000000000, ,Baramula,1,0
,7,20,1,Populated place,Proddatur, , ,0,Proddatur,0.000000000000000,0.000000000000000, ,0.000000000000000,0,India,IND,India,IND,Andhra Pradesh,IN, ,14.750429096400000,78.570025592999997,0.000000000000000,0, ,197451,177797,198450,9,9,1259312.000000000000000, ,Proddatur,1,0
,7,20,1,Populated place,Nandyal, , ,0,Nandyal,0.000000000000000,0.000000000000000, ,0.000000000000000,0,India,IND,India,IND,Andhra Pradesh,IN, ,15.520382099400001,78.479953571500005,0.000000000000000,0, ,188654,165337,0,9,9,1261927.000000000000000, ,Nandyal,1,0
,7,20,1,Populated place,Hindupur, , ,0,Hindupur,0.000000000000000,0.000000000000000, ,0.000000000000000,0,India,IND,India,IND,Andhra Pradesh,IN, ,13.780359109400001,77.489988158100005,0.000000000000000,0, ,168312,133298,168474,9,9,1270079.000000000000000, ,Hindupur,1,0
,7,20,1,Populated place,Tirupati, , ,0,Tirupati,0.000000000000000,0.000000000000000, ,0.000000000000000,0,India,IND,India,IND,Andhra Pradesh,IN, ,13.650418720399999,79.419999551299995,0.000000000000000,0, ,287035,250821,1213421,10,10,1254360.000000000000000, ,Tirupati,1,0
,7,20,1,Populated place,Ongole, , ,0,Ongole,0.000000000000000,0.000000000000000, ,0.000000000000000,0,India,IND,India,IND,Andhra Pradesh,IN, ,15.560379658000000,80.050038613799998,0.000000000000000,0, ,202860,172872,329934,10,9,1261045.000000000000000, ,Ongole,1,0
,7,20,1,Populated place,Vizianagaram, , ,0,Vizianagaram,0.000000000000000,0.000000000000000, ,0.000000000000000,0,India,IND,India,IND,Andhra Pradesh,IN, ,18.120404275500000,83.500008910099993,0.000000000000000,0, ,179358,1194,48978,9,3,1253084.000000000000000, ,Vizianagaram,1,0
,7,20,1,Populated place,Rajahmundry, , ,0,Rajahmundry,0.000000000000000,0.000000000000000, ,0.000000000000000,0,India,IND,India,IND,Andhra Pradesh,IN, ,17.030341612699999,81.789984089100003,4.000000000000000,0,Changed scale rank.,304804,304804,4028835,10,10,1258932.000000000000000, ,Rajahmundry,1,0
