FID_,name,latitude,longitude,pop_max
,Ghaziabad,28.660381082200001,77.408391071500006,1341000
,Agra,27.170420348099999,78.015020710200005,1592000
,Aligarh,27.892210916100002,78.061787881399994,805000
,Meerut,29.000412006600001,77.700001178899996,1398000
,Dhanbad,23.800393492600001,86.419985716699998,1246000
,Gwalior,26.229986794999999,78.180075234900002,978000
,Vadodara,22.310019347099999,73.180018675599996,1756000
,Rajkot,22.310019347099999,70.800008910000003,1260000
,Faridabad,28.433333300000001,77.316666699999999,1394000
,Srinagar,34.099971536300004,74.815009316900003,1140000
,Vijayawada,16.519959329199999,80.630003213400002,1137000
,Thiruvananthapuram,8.499983743210001,76.950021117099993,954000
,Kochi,10.015007546900000,76.223915566900004,1519000
,Cuttack,20.470002460700002,85.889940550700004,580000
,Hubli,15.359978453500000,75.125016234200004,890000
,Mangalore,12.900025247100000,74.849994261600003,776632
,Mysore,12.309983743200000,76.660012979000001,887000
,Gulbarga,17.349960346400000,76.820003213400000,483615
,Kolhapur,16.700000019299999,74.220006875500005,750000
,Nanded,19.169978453500001,77.300025593000001,623708
,Akola,20.709987812300000,77.010017454899995,503502
,Guwahati,26.160016905700001,91.769995075400004,983000
,Ludhiana,30.927762063599999,75.872257445200006,1649000
,Kota,25.179999205500000,75.834998737500001,827000
,Jodhpur,26.291765969800000,73.016772825999993,995000
,Lucknow,26.855039081800001,80.914998737499999,2695000
,Saharanpur,29.970016905700000,77.550036172399999,484873
,Ranchi,23.370006326300000,85.330026406800002,1044000
,Bhagalpur,25.229996153799998,86.980003213499998,361548
,Raipur,21.234994526099999,81.635006468599997,875000
,Jabalpur,23.175056985499999,79.955057331299997,1285000
,Indore,22.715059223400001,75.865022744699999,2026000
,Pondicherry,11.934993712300001,79.830000365100005,227411
,Salem,11.669996967499999,78.180075234900002,873000
,Tiruchirappalli,10.809997781300000,78.689966592299996,951000
,Bhubaneshwar,20.270428079199998,85.827360391200003,844000
,Jamshedpur,22.787535419699999,86.197518675699996,1300000
,Vishakhapatnam,17.730014667700001,83.304982054600003,1529000
,Amritsar,31.639992491699999,74.869993040899999,1212000
,Varanasi,25.329990050199999,83.000039427600001,1352000
,Asansol,23.683333300000001,86.983333299999998,1328000
,Bhilai,21.216666700000001,81.433333300000001,1097000
,Bhopal,23.249987812299999,77.409993040900005,1727000
,Madurai,9.920026264380001,78.120027220599994,1294000
,Coimbatore,10.999960346400000,76.950021117099993,1696000
,Delhi,28.669992898600000,77.230004027199996,15926000
,Hyderabad,17.399983132900001,78.479953571500005,6376000
,Pune,18.530017516000001,73.850003620300001,4672000
,Nagpur,21.169959736100001,79.089993854699998,2454000
,Jaipur,26.921133238700001,75.809987344299998,2917000
,Kanpur,26.459998595199998,80.319996296100001,3162000
,Patna,25.624959125800000,85.130038613799996,2158000
,Chennai,13.089987812200000,80.279998737499994,7163000
,Ahmedabad,23.030052916399999,72.580003620300005,5375000
,Surat,21.199983743299999,72.840039427600004,3842000
,New Delhi,28.600023009200001,77.199980020100000,317797
,Bangalore,12.969995136500000,77.560009723799993,6787000
,Mumbai,19.016990375700001,72.856989297400006,18978000
,Kolkata,22.494969298299999,88.324675658100006,14787000
